Links,Claims,,,
https://thelogicalindian.com//fact-check/old-image-of-rss-workers-helping-after-uttarakhand-glacier-burst-26821,An old image of RSS workers is being shared on social media with a claim of them helping in relief work in Uttarakhand following the glacier burst,,,12-Feb-21
https://thelogicalindian.com//fact-check/edited-video-of-pm-modi-viral-26802,Almost three years old edited video of PM Modi trying to avoid talking about petrol price with a group of people is being shared on social media,,,11-Feb-21
https://thelogicalindian.com//fact-check/farmers-protest-26801,An old video of Nitin Gadkari in which he is referring to the anti-corruption bill has gone viral with the claim that he is condemning PM Narendra Modi over his 'Andolanjivi' remark,,,11-Feb-21
https://thelogicalindian.com//fact-check/farmers-protest-26798,"Bob Blackman, a leader of the Conservative Party United Kingdom, tweeted mentioning the benefits of new farm laws",,,11-Feb-21
https://thelogicalindian.com//fact-check/adhir-ranjan-chowdhury-made-false-statements-about-amit-shah-jp-nadda-26772,Congress MP Adhir Ranjan Chowdhury made false statements about Home Minister Amit Shah and BJP President JP Nadda’s last year’s visits to West Bengal during his recent Lok Sabha address,,,10-Feb-21
https://thelogicalindian.com//fact-check/farmers-protest-26771,An old video of a Muslim preacher calling for street protest is being shared hinting that the ongoing farmer's protest is a malicious attempt to hamper the economy,,,10-Feb-21
https://thelogicalindian.com//fact-check/old-image-of-man-dying-on-street-goes-viral-in-context-with-farmers-protest-26766,An old image of a man lying lifeless on a road is viral on social media with a claim that he died during the farmers' protest in Delhi,,,10-Feb-21
https://thelogicalindian.com//fact-check/video-from-nepal-shared-with-false-claims-about-uttarakhands-glacier-burst-26764,"A video from January 2021 of an avalanche from Nepal is being shared on social media with a false claim that it shows the glacial burst in Chamoli, Uttarakhand",,,10-Feb-21
https://thelogicalindian.com//fact-check/farmers-protest-26749,Images of Christian priest Father Jegath Kasper is being shared claiming it to be of ongoing farmers' protest,,,9-Feb-21
https://thelogicalindian.com//fact-check/sharad-pawar-26748,Social media users are sharing a video of Sharad Pawar being slapped to claim that he was slapped for speaking against Sachin Tendulkar,,,9-Feb-21
https://thelogicalindian.com//fact-check/farmers-protest-tractor-26730,Old photographs of antique tractors are making rounds on social media with the claim that the farmers are making tractors with steel wheels to overcome nails and iron spikes installed near protest sites,,,8-Feb-21
https://thelogicalindian.com//fact-check/old-video-claiming-alcohol-was-given-at-farmers-protest-26727,An old video from April 2020 has gone viral with a claim that liquor was distributed to farmers during the farmers' protest,,,8-Feb-21
https://thelogicalindian.com//fact-check/caralisa-monteiro-26726,A screenshot of a fake tweet is being shared as the tweet of Caralisa Monteiro on social media claiming she hopes for death of Hindus,,,8-Feb-21
https://thelogicalindian.com//fact-check/mia-khalifa-26721,An image of Congress workers purportedly feeding cake to adult movie star Mia Khalifa is viral on social media,,,8-Feb-21
https://thelogicalindian.com//fact-check/old-pictures-of-a-professor-with-a-students-baby-goes-viral-26697,Photos claiming that a professor who recently lost his wife is taking care of his child while teaching his classes has gone viral on social media,,,6-Feb-21
https://thelogicalindian.com//fact-check/republic-day-violence-26696,A photo collage of two images one showing RSS written on the hand of police and the other of a police officer with stones has gone viral,,,6-Feb-21
https://thelogicalindian.com//fact-check/farmers-protest-26695,"Media agencies, ANI, PTI reported that the United States has supported new farm laws",,,6-Feb-21
https://thelogicalindian.com//fact-check/rakesh-tikait-on-the-three-new-farm-bills-26677,"Rakesh Tikait, farmer leader & National spokesperson of BKU, refuted the report about him supporting the three new farm bills",,,5-Feb-21
https://thelogicalindian.com//fact-check/anna-hazare-26674,An image of Anna Hazare being felicitated by BJP President JP Nadda is viral with the claim that he joined BJP,,,5-Feb-21
https://thelogicalindian.com//fact-check/farmers-protest-26671,An old video of Nihang Sikhs damaging a PRTC bus has gone viral on social media in context with the ongoing farmers' protest,,,5-Feb-21
https://thelogicalindian.com//fact-check/farmers-protest-26655,An old image of a fleet of bullock cart has gone viral on social media claiming the photo is of farmers' protest happening in rural India,,,4-Feb-21
https://thelogicalindian.com//fact-check/republic-day-parade-26654,A video of a water tanker running over elderly women is being circulated with false claims,,,4-Feb-21
https://thelogicalindian.com//fact-check/amidst-the-ongoing-farmers-protest-international-singer-rihanna-tweeted-in-support-of-the-protest-a-lot-of-backlashes-followed-her-after-this-including-a-photoshopped-photo-of-her-holding-a-pakistani-flag-26653,"Amidst the ongoing farmers' protest, international singer Rihanna tweeted in support of the protest",,,4-Feb-21
https://thelogicalindian.com//fact-check/farmers-protest-26652,"Republic Bharat reported an old video of Gurnam Singh Charuni, Bhartiya Kisan Union leader to portray that Charuni slammed Rakesh Tikait after Republic Day violence",,,4-Feb-21
